1042,1012
1047,999
1051,986
1057,974
1061,962
1066,949
1069,936
1076,926
1081,914
1082,899
1087,888
1092,876
1114,862
1133,861
1169,873
1214,890
1266,912
1324,936
1069,936
1491,1017
1471,985
1477,971
1482,956
1489,943
1501,913
1509,900
1512,885
1518,871
1524,857
1530,843
1536,829
1544,816
1548,802
1552,787
1559,774
1566,761
1574,730
1581,717
1588,704
1595,690
1599,676
1606,663
1611,649
1618,636
1621,621
1627,607
1611,586
1613,571
1625,543
1631,529
1637,516
1645,503
1649,488
1656,475
1662,461
1668,448
1676,435
1681,421
1689,407
1692,393
-339,640
-331,640
-324,638
-316,637
-309,636
-302,635
-295,634
-288,633
-281,633
-274,632
-267,631
-260,630
-248,632
-243,634
-239,640
-225,618
-220,622
-216,625
-210,625
-204,625
-198,625
-192,623
-186,624
-260,630
-248,632
-243,634
-239,640
-150,616
-145,621
-140,621
-134,620
-128,619
-122,618
-117,618
-111,618
-106,617
-94,617
-89,618
-83,616
-78,616
-73,616
-67,616
-62,615
-56,614
-51,608
-45,600
-111,618
-37,638
-25,628
-19,614
-13,601
-78,616
-73,616
-67,616
-62,615
2,122
3,124
4,125
-111,618
-37,638
-25,628
-19,614
-13,601
-78,616
-73,616
-67,616
-62,615
2,122
3,124
95,616
101,618
106,613
118,615
124,618
130,619
-78,616
-73,616
-67,616
-62,615
2,122
3,124
95,616
101,618
106,613
185,592
194,601
201,604
202,592
205,584
217,601
227,614
233,612
237,608
243,606
249,605
254,605
266,602
271,600
276,596
281,593
287,593
294,594
301,595
308,595
314,595
321,594
326,592
332,591
345,588
351,587
356,584
360,580
369,583
383,593
391,594
397,592
401,587
408,586
415,585
422,585
435,580
443,580
451,580
458,579
466,578
474,578
481,577
490,576
498,576
506,575
514,575
523,574
536,568
545,568
555,567
563,566
573,566
582,565
592,565
602,564
611,563
622,563
632,562
643,561
658,554
669,554
679,552
691,552
702,551
714,550
727,550
738,548
751,548
763,547
776,546
788,545
806,535
820,534
832,532
691,552
843,518
842,508
842,498
842,488
841,478
840,468
840,458
838,448
843,431
841,421
841,412
846,405
861,403
876,401
891,399
908,396
925,394
941,392
939,381
925,367
930,349
934,341
938,334
917,317
907,305
911,298
884,280
896,276
922,275
979,283
995,278
925,367
844,212
838,203
835,194
833,186
832,178
832,171
833,163
836,157
837,149
842,143
849,136
857,130
867,115
884,110
957,111
996,106
999,98
994,89
996,80
992,71
837,149
842,143
1270,58
1300,48
1299,25
1298,14
1296,2
1293,-8
1296,-19
1294,-30
1293,-41
1290,-52
1289,-63
1288,-75
1288,-86
1286,-97
1284,-120
1281,-131
1281,-142
1278,-153
1277,-164
1276,-176
1275,-187
1274,-198
1275,-210
1288,-75
1269,-231
1269,-243
1267,-266
1267,-278
1264,-289
1265,-300
1263,-311
1261,-322
1261,-334
1259,-345
1258,-357
1257,-368
1256,-380
1253,-391
1250,-415
1250,-426
1249,-438
1260,-454
1240,-459
1242,-472
1246,-486
1243,-497
1241,-509
1240,-521
1240,-534
1239,-546
1234,-571
1232,-583
1232,-596
1260,-454
1240,-459
1242,-472
1246,-486
966,-519
937,-514
913,-511
889,-508
866,-505
839,-509
817,-506
799,-505
780,-502
762,-500
744,-497
727,-495
710,-493
693,-489
679,-488
663,-486
649,-484
630,-488
617,-486
604,-485
591,-483
578,-481
567,-480
555,-478
544,-477
532,-475
521,-473
511,-473
501,-471
486,-474
476,-472
466,-470
457,-469
448,-468
439,-466
430,-465
422,-464
414,-463
406,-462
398,-461
390,-460
379,-463
371,-462
364,-461
357,-460
350,-459
344,-459
337,-458
330,-457
323,-456
317,-456
311,-454
305,-454
295,-457
289,-457
283,-456
277,-455
271,-454
266,-455
261,-455
256,-454
250,-454
245,-454
240,-454
235,-454
226,-455
221,-456
216,-456
213,-460
211,-466
209,-472
208,-480
207,-491
210,-509
208,-517
207,-528
206,-540
201,-555
200,-568
200,-583
199,-597
197,-611
197,-627
196,-643
195,-660
194,-678
192,-696
191,-716
190,-737
181,-760
179,-782
178,-807
176,-832
174,-860
172,-888
169,-917
167,-949
164,-984
161,-1021
158,-1061
155,-1104
140,-1151
136,-1201
131,-1257
126,-1316
120,-1381
172,-888
107,-1532
92,-1504
78,-1487
161,-1021
158,-1061
155,-1104
140,-1151
136,-1201
-32,-3827
-65,-3841
-98,-3828
-131,-3833
-165,-3838
-198,-3830
-230,-3819
-263,-3818
-296,-3816
-329,-3815
-398,-3811
-431,-3807
-463,-3797
-496,-3799
-527,-3786
-561,-3788
-592,-3779
-624,-3772
-659,-3778
-692,-3779
-724,-3769
-757,-3768
-826,-3760
-858,-3751
-889,-3737
-924,-3742
-957,-3738
-991,-3739
-1025,-3736
-1056,-3726
-1093,-3732
-1128,-3734
-1157,-3714
-1193,-3716
-1262,-3703
-1300,-3709
-1331,-3696
-1369,-3701
-1405,-3700
-1439,-3692
-1476,-3693
-1511,-3688
-1547,-3687
-1579,-3673
-1614,-3667
-1652,-3669
-1723,-3648
-1757,-3638
-1796,-3638
-1835,-3638
-1874,-3636
-1851,-3515
-1835,-3412
-1827,-3329
-1813,-3235
-1799,-3145
-931,-1597
-939,-1578
-970,-1565
-989,-1565
-1007,-1564
-1025,-1563
-1044,-1562
-1061,-1559
-1079,-1557
-1097,-1554
-1117,-1553
-1138,-1554
-1155,-1549
-1176,-1550
-1210,-1536
-1229,-1533
-1252,-1534
-1273,-1533
-1292,-1529
-1315,-1530
-1335,-1527
-1097,-1554
-837,-924
-833,-904
-829,-885
-826,-867
-833,-841
-831,-824
-826,-806
-824,-790
-822,-775
-819,-759
-816,-744
-814,-729
-811,-714
-810,-700
-806,-685
-805,-673
-808,-651
-806,-638
-805,-625
-802,-612
-800,-600
-798,-588
-797,-576
-795,-564
-794,-553
-804,-550
-817,-548
-830,-547
-850,-538
-864,-537
-879,-535
-895,-534
-910,-533
-926,-531
-919,-517
-940,-518
-944,-510
-994,-526
-1014,-526
-1032,-524
-1056,-512
-1076,-510
-1098,-509
-1118,-507
-1141,-505
-1163,-503
-1186,-501
-1211,-499
-1234,-496
-1262,-495
-1290,-493
-1319,-491
-1351,-475
-1379,-472
-1098,-509
-1383,-447
-1141,-505
-1529,-466
-1523,-450
-1524,-436
-1521,-421
-1522,-407
-1519,-392
-1516,-378
-1518,-349
-1517,-335
-1512,-321
-1510,-306
-1511,-293
-1509,-279
-1507,-265
-1505,-251
-1503,-238
-1522,-407
-1519,-392
-1516,-378
-1516,-172
-1496,-156
-1496,-143
